countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Australia,Australia Day (Observed),Australia Day,,AU,2008-01-28
Norway,Søndag,Søndag,,NO,2008-02-03
Sweden,Söndag,Söndag,,SE,2008-02-03
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2008-02-04
Mexico,Día de la Constitución [Constitution Day] (Observed),Día de la Constitución [Constitution Day],,MX,2008-02-04
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2008-02-05
Brazil,Carnaval,Carnaval,,BR,2008-02-05
Mexico,Día de la Constitución [Constitution Day],Día de la Constitución [Constitution Day],,MX,2008-02-05
Brazil,Quarta-feira de cinzas (Início da Quaresma),Quarta-feira de cinzas (Início da Quaresma),,BR,2008-02-06
New Zealand,Waitangi Day,Waitangi Day,,NZ,2008-02-06
Slovenia,Prešernov dan,Prešernov dan,,SI,2008-02-08
Norway,Søndag,Søndag,,NO,2008-02-10
Sweden,Söndag,Söndag,,SE,2008-02-10
Japan,建国記念の日,建国記念の日,,JP,2008-02-11
Norway,Søndag,Søndag,,NO,2008-02-17
Sweden,Söndag,Söndag,,SE,2008-02-17
Canada,Family Day,Family Day,,CA,2008-02-18
United States,Washington's Birthday,Washington's Birthday,True,US,2008-02-18
Norway,Søndag,Søndag,,NO,2008-02-24
Sweden,Söndag,Söndag,,SE,2008-02-24
Norway,Søndag,Søndag,,NO,2008-03-02
Sweden,Söndag,Söndag,,SE,2008-03-02
Belarus,День женщин,День женщин,,BY,2008-03-08
Ukraine,Міжнародний жіночий день,Міжнародний жіночий день,,UA,2008-03-08
Norway,Søndag,Søndag,,NO,2008-03-09
Sweden,Söndag,Söndag,,SE,2008-03-09
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2008-03-15
Denmark,Palmesøndag,Palmesøndag,,DK,2008-03-16
Norway,Søndag,Søndag,,NO,2008-03-16
Sweden,Söndag,Söndag,,SE,2008-03-16
Ireland,St. Patrick's Day,St. Patrick's Day,,IE,2008-03-17
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday] (Observed),Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2008-03-17
Northern Ireland,St. Patrick's Day,St. Patrick's Day,,,2008-03-17
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2008-03-17
Argentina,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],,AR,2008-03-20
Colombia,Jueves Santo [Maundy Thursday],Jueves Santo [Maundy Thursday],,CO,2008-03-20
Denmark,Skærtorsdag,Skærtorsdag,,DK,2008-03-20
Japan,春分の日,春分の日,,JP,2008-03-20
Norway,Skjærtorsdag,Skjærtorsdag,,NO,2008-03-20
Argentina,Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],,AR,2008-03-21
Australia,Good Friday,Good Friday,,AU,2008-03-21
Brazil,Sexta-feira Santa,Sexta-feira Santa,,BR,2008-03-21
Canada,Good Friday,Good Friday,,CA,2008-03-21
Colombia,Viernes Santo [Good Friday],Viernes Santo [Good Friday],,CO,2008-03-21
Denmark,Langfredag,Langfredag,,DK,2008-03-21
England,Good Friday,Good Friday,,,2008-03-21
Finland,Pitkäperjantai,Pitkäperjantai,,FI,2008-03-21
Germany,Karfreitag,Karfreitag,,DE,2008-03-21
Isle of Man,Good Friday,Good Friday,,IM,2008-03-21
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday],Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2008-03-21
Netherlands,Goede Vrijdag,Goede Vrijdag,,NL,2008-03-21
New Zealand,Good Friday,Good Friday,,NZ,2008-03-21
Northern Ireland,Good Friday,Good Friday,,,2008-03-21
Norway,Langfredag,Langfredag,,NO,2008-03-21
Portugal,Sexta-feira Santa,Sexta-feira Santa,,PT,2008-03-21
Scotland,Good Friday,Good Friday,,,2008-03-21
South Africa,"Human Rights Day, Good Friday","Human Rights Day, Good Friday",,ZA,2008-03-21
Sweden,Långfredagen,Långfredagen,,SE,2008-03-21
Switzerland,Karfreitag,Karfreitag,,CH,2008-03-21
United Kingdom,Good Friday,Good Friday,True,GB,2008-03-21
Wales,Good Friday,Good Friday,,,2008-03-21
Argentina,Día de Pascuas [Easter Day],Día de Pascuas [Easter Day],,AR,2008-03-23
Belgium,Pasen,Pasen,,BE,2008-03-23
Brazil,Páscoa,Páscoa,,BR,2008-03-23
Croatia,Uskrs,Uskrs,,HR,2008-03-23
Denmark,Påskedag,Påskedag,,DK,2008-03-23
Finland,Pääsiäispäivä,Pääsiäispäivä,,FI,2008-03-23
Hungary,Húsvét,Húsvét,,HU,2008-03-23
Italy,Pasqua di Resurrezione,Pasqua di Resurrezione,,IT,2008-03-23
Netherlands,Eerste paasdag,Eerste paasdag,,NL,2008-03-23
Norway,"Første påskedag, Søndag","Første påskedag, Søndag",,NO,2008-03-23
Poland,Niedziela Wielkanocna,Niedziela Wielkanocna,,PL,2008-03-23
Portugal,Páscoa,Páscoa,,PT,2008-03-23
Sweden,"Påskdagen, Söndag","Påskdagen, Söndag",,SE,2008-03-23
Switzerland,Ostern,Ostern,,CH,2008-03-23
Argentina,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],,AR,2008-03-24
Australia,Easter Monday,Easter Monday,,AU,2008-03-24
Austria,Ostermontag,Ostermontag,,AT,2008-03-24
Belgium,Paasmaandag,Paasmaandag,,BE,2008-03-24
Colombia,Día de San José [Saint Joseph's Day](Observed),Día de San José [Saint Joseph's Day],,CO,2008-03-24
Croatia,Uskrsni ponedjeljak,Uskrsni ponedjeljak,,HR,2008-03-24
Czech,Velikonoční pondělí,Velikonoční pondělí,,CZ,2008-03-24
Denmark,Anden påskedag,Anden påskedag,,DK,2008-03-24
England,Easter Monday,Easter Monday,,,2008-03-24
Finland,2. pääsiäispäivä,2. pääsiäispäivä,,FI,2008-03-24
France,Lundi de Pâques,Lundi de Pâques,,FR,2008-03-24
Germany,Ostermontag,Ostermontag,,DE,2008-03-24
Hungary,Húsvét Hétfő,Húsvét Hétfő,,HU,2008-03-24
Ireland,Easter Monday,Easter Monday,,IE,2008-03-24
Isle of Man,Easter Monday,Easter Monday,,IM,2008-03-24
Italy,Lunedì dell'Angelo,Lunedì dell'Angelo,,IT,2008-03-24
Netherlands,Tweede paasdag,Tweede paasdag,,NL,2008-03-24
New Zealand,Easter Monday,Easter Monday,,NZ,2008-03-24
Northern Ireland,Easter Monday,Easter Monday,,,2008-03-24
Norway,Andre påskedag,Andre påskedag,,NO,2008-03-24
Poland,Poniedziałek Wielkanocny,Poniedziałek Wielkanocny,,PL,2008-03-24
Slovenia,Velikonočni ponedeljek,Velikonočni ponedeljek,,SI,2008-03-24
South Africa,Family Day,Family Day,,ZA,2008-03-24
Sweden,Annandag påsk,Annandag påsk,,SE,2008-03-24
Switzerland,Ostermontag,Ostermontag,,CH,2008-03-24
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,True,GB,2008-03-24
Wales,Easter Monday,Easter Monday,,,2008-03-24
Norway,Søndag,Søndag,,NO,2008-03-30
Sweden,Söndag,Söndag,,SE,2008-03-30
Argentina,Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],,AR,2008-04-02
Norway,Søndag,Søndag,,NO,2008-04-06
Sweden,Söndag,Söndag,,SE,2008-04-06
Norway,Søndag,Søndag,,NO,2008-04-13
Sweden,Söndag,Söndag,,SE,2008-04-13
Denmark,Store bededag,Store bededag,,DK,2008-04-18
Norway,Søndag,Søndag,,NO,2008-04-20
Sweden,Söndag,Söndag,,SE,2008-04-20
Brazil,Tiradentes,Tiradentes,,BR,2008-04-21
Australia,Anzac Day,Anzac Day,,AU,2008-04-25
Italy,Festa della Liberazione,Festa della Liberazione,,IT,2008-04-25
New Zealand,Anzac Day,Anzac Day,,NZ,2008-04-25
Portugal,Dia da Liberdade,Dia da Liberdade,,PT,2008-04-25
Norway,Søndag,Søndag,,NO,2008-04-27
Slovenia,dan upora proti okupatorju,dan upora proti okupatorju,,SI,2008-04-27
South Africa,Freedom Day,Freedom Day,,ZA,2008-04-27
Sweden,Söndag,Söndag,,SE,2008-04-27
Ukraine,Пасха (Великдень),Пасха (Великдень),,UA,2008-04-27
South Africa,Freedom Day (Observed),Freedom Day,,ZA,2008-04-28
Japan,昭和の日,昭和の日,,JP,2008-04-29
Netherlands,Koninginnedag,Koninginnedag,,NL,2008-04-30
Argentina,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,AR,2008-05-01
Austria,"Christi Himmelfahrt, Staatsfeiertag","Christi Himmelfahrt, Staatsfeiertag",,AT,2008-05-01
Belarus,Праздник труда,Праздник труда,,BY,2008-05-01
Belgium,"Dag van de Arbeid, O.L.H. Hemelvaart","Dag van de Arbeid, O.L.H. Hemelvaart",,BE,2008-05-01
Brazil,Dia Mundial do Trabalho,Dia Mundial do Trabalho,,BR,2008-05-01
Colombia,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,CO,2008-05-01
Croatia,Međunarodni praznik rada,Međunarodni praznik rada,,HR,2008-05-01
Czech,Svátek práce,Svátek práce,,CZ,2008-05-01
Denmark,Kristi himmelfartsdag,Kristi himmelfartsdag,,DK,2008-05-01
Finland,"Helatorstai, Vappu","Helatorstai, Vappu",,FI,2008-05-01
France,"Ascension, Fête du Travail","Ascension, Fête du Travail",,FR,2008-05-01
Germany,"Christi Himmelfahrt, Erster Mai","Christi Himmelfahrt, Erster Mai",,DE,2008-05-01
Hungary,A Munka ünnepe,A Munka ünnepe,,HU,2008-05-01
India,Labour Day,Labour Day,False,IN,2008-05-01
Italy,Festa dei Lavoratori,Festa dei Lavoratori,,IT,2008-05-01
Mexico,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,MX,2008-05-01
Netherlands,Hemelvaart,Hemelvaart,,NL,2008-05-01
Norway,"Kristi himmelfartsdag, Arbeidernes dag","Kristi himmelfartsdag, Arbeidernes dag",,NO,2008-05-01
Poland,Święto Państwowe,Święto Państwowe,,PL,2008-05-01
Portugal,Dia do Trabalhador,Dia do Trabalhador,,PT,2008-05-01
Slovenia,praznik dela,praznik dela,,SI,2008-05-01
South Africa,Workers' Day,Workers' Day,,ZA,2008-05-01
Spain,Día del Trabajador,Día del Trabajador,,ES,2008-05-01
Sweden,"Kristi himmelsfärdsdag, Första maj","Kristi himmelsfärdsdag, Första maj",,SE,2008-05-01
Switzerland,Auffahrt,Auffahrt,,CH,2008-05-01
Ukraine,День міжнародної солідарності трудящих,День міжнародної солідарності трудящих,,UA,2008-05-01
Slovenia,praznik dela,praznik dela,,SI,2008-05-02
South Africa,By presidential decree,By presidential decree,,ZA,2008-05-02
Ukraine,День міжнародної солідарності трудящих,День міжнародної солідарності трудящих,,UA,2008-05-02
Japan,憲法記念日,憲法記念日,,JP,2008-05-03
Poland,Święto Narodowe Trzeciego Maja,Święto Narodowe Trzeciego Maja,,PL,2008-05-03
Japan,みどりの日,みどりの日,,JP,2008-05-04
Norway,Søndag,Søndag,,NO,2008-05-04
Sweden,Söndag,Söndag,,SE,2008-05-04
Colombia,Ascensión del señor [Ascension of Jesus](Observed),Ascensión del señor [Ascension of Jesus],,CO,2008-05-05
England,May Day,May Day,,,2008-05-05
Ireland,May Day,May Day,,IE,2008-05-05
Isle of Man,May Day,May Day,,IM,2008-05-05
Japan,こどもの日,こどもの日,,JP,2008-05-05
Northern Ireland,May Day,May Day,,,2008-05-05
Scotland,May Day,May Day,,,2008-05-05
United Kingdom,May Day,May Day,True,GB,2008-05-05
Wales,May Day,May Day,,,2008-05-05
Belarus,Радуница,Радуница,,BY,2008-05-06
Japan,振替休日,振替休日,,JP,2008-05-06
Czech,Den vítězství,Den vítězství,,CZ,2008-05-08
France,Armistice 1945,Armistice 1945,,FR,2008-05-08
Belarus,День Победы,День Победы,,BY,2008-05-09
Ukraine,День перемоги,День перемоги,,UA,2008-05-09
Belgium,Pinksteren,Pinksteren,,BE,2008-05-11
Denmark,Pinsedag,Pinsedag,,DK,2008-05-11
Finland,Helluntaipäivä,Helluntaipäivä,,FI,2008-05-11
Hungary,Pünkösd,Pünkösd,,HU,2008-05-11
Netherlands,Eerste Pinksterdag,Eerste Pinksterdag,,NL,2008-05-11
Norway,"Første pinsedag, Søndag","Første pinsedag, Søndag",,NO,2008-05-11
Poland,Zielone Świątki,Zielone Świątki,,PL,2008-05-11
Sweden,"Pingstdagen, Söndag","Pingstdagen, Söndag",,SE,2008-05-11
Switzerland,Pfingsten,Pfingsten,,CH,2008-05-11
Austria,Pfingstmontag,Pfingstmontag,,AT,2008-05-12
Belgium,Pinkstermaandag,Pinkstermaandag,,BE,2008-05-12
Denmark,Anden pinsedag,Anden pinsedag,,DK,2008-05-12
France,Lundi de Pentecôte,Lundi de Pentecôte,,FR,2008-05-12
Germany,Pfingstmontag,Pfingstmontag,,DE,2008-05-12
Hungary,Pünkösdhétfő,Pünkösdhétfő,,HU,2008-05-12
Netherlands,Tweede Pinksterdag,Tweede Pinksterdag,,NL,2008-05-12
Norway,Andre pinsedag,Andre pinsedag,,NO,2008-05-12
Switzerland,Pfingstmontag,Pfingstmontag,,CH,2008-05-12
Norway,Grunnlovsdag,Grunnlovsdag,,NO,2008-05-17
Norway,Søndag,Søndag,,NO,2008-05-18
Sweden,Söndag,Söndag,,SE,2008-05-18
Canada,Victoria Day,Victoria Day,,CA,2008-05-19
Austria,Fronleichnam,Fronleichnam,,AT,2008-05-22
Brazil,Corpus Christi,Corpus Christi,,BR,2008-05-22
Croatia,Tijelovo,Tijelovo,,HR,2008-05-22
Poland,Dzień Bożego Ciała,Dzień Bożego Ciała,,PL,2008-05-22
Portugal,Corpo de Deus,Corpo de Deus,,PT,2008-05-22
Argentina,Día de la Revolucion de Mayo [May Revolution Day],Día de la Revolucion de Mayo [May Revolution Day],,AR,2008-05-25
Norway,Søndag,Søndag,,NO,2008-05-25
Sweden,Söndag,Söndag,,SE,2008-05-25
Colombia,Corpus Christi [Corpus Christi](Observed),Corpus Christi [Corpus Christi],,CO,2008-05-26
England,Spring Bank Holiday,Spring Bank Holiday,,,2008-05-26
Isle of Man,Spring Bank Holiday,Spring Bank Holiday,,IM,2008-05-26
Northern Ireland,Spring Bank Holiday,Spring Bank Holiday,,,2008-05-26
Scotland,Spring Bank Holiday,Spring Bank Holiday,,,2008-05-26
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,True,GB,2008-05-26
United States,Memorial Day,Memorial Day,True,US,2008-05-26
Wales,Spring Bank Holiday,Spring Bank Holiday,,,2008-05-26
Norway,Søndag,Søndag,,NO,2008-06-01
Sweden,Söndag,Söndag,,SE,2008-06-01
Colombia,Sagrado Corazón [Sacred Heart](Observed),Sagrado Corazón [Sacred Heart],,CO,2008-06-02
Ireland,June Bank Holiday,June Bank Holiday,,IE,2008-06-02
Italy,Festa della Repubblica,Festa della Repubblica,,IT,2008-06-02
New Zealand,Queen's Birthday,Queen's Birthday,,NZ,2008-06-02
Isle of Man,TT Bank Holiday,TT Bank Holiday,,IM,2008-06-06
Sweden,Sveriges nationaldag,Sveriges nationaldag,,SE,2008-06-06
Norway,Søndag,Søndag,,NO,2008-06-08
Sweden,Söndag,Söndag,,SE,2008-06-08
Portugal,Dia de Portugal,Dia de Portugal,,PT,2008-06-10
Norway,Søndag,Søndag,,NO,2008-06-15
Sweden,Söndag,Söndag,,SE,2008-06-15
Ukraine,Трійця,Трійця,,UA,2008-06-15
South Africa,Youth Day,Youth Day,,ZA,2008-06-16
Argentina,Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],,AR,2008-06-17
Argentina,Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,AR,2008-06-20
Finland,Juhannusaatto,Juhannusaatto,,FI,2008-06-20
Sweden,Midsommarafton,Midsommarafton,,SE,2008-06-20
Finland,Juhannuspäivä,Juhannuspäivä,,FI,2008-06-21
Sweden,Midsommardagen,Midsommardagen,,SE,2008-06-21
Croatia,Dan antifašističke borbe,Dan antifašističke borbe,,HR,2008-06-22
Norway,Søndag,Søndag,,NO,2008-06-22
Sweden,Söndag,Söndag,,SE,2008-06-22
Croatia,Dan državnosti,Dan državnosti,,HR,2008-06-25
Slovenia,dan državnosti,dan državnosti,,SI,2008-06-25
Ukraine,День Конституції України,День Конституції України,,UA,2008-06-28
Norway,Søndag,Søndag,,NO,2008-06-29
Sweden,Söndag,Söndag,,SE,2008-06-29
Colombia,San Pedro y San Pablo [Saint Peter and Saint Paul](Observed),San Pedro y San Pablo [Saint Peter and Saint Paul],,CO,2008-06-30
Canada,Canada Day,Canada Day,,CA,2008-07-01
Belarus,День Независимости Республики Беларусь (День Республики),День Независимости Республики Беларусь (День Республики),,BY,2008-07-03
United States,Independence Day,Independence Day,True,US,2008-07-04
Czech,Den slovanských věrozvěstů Cyrila a Metoděje,Den slovanských věrozvěstů Cyrila a Metoděje,,CZ,2008-07-05
Isle of Man,Tynwald Day,Tynwald Day,,IM,2008-07-05
Czech,Den upálení mistra Jana Husa,Den upálení mistra Jana Husa,,CZ,2008-07-06
Norway,Søndag,Søndag,,NO,2008-07-06
Sweden,Söndag,Söndag,,SE,2008-07-06
Argentina,Día de la Independencia [Independence Day],Día de la Independencia [Independence Day],,AR,2008-07-09
Northern Ireland,Battle of the Boyne,Battle of the Boyne,,,2008-07-12
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,False,GB,2008-07-12
Norway,Søndag,Søndag,,NO,2008-07-13
Sweden,Söndag,Söndag,,SE,2008-07-13
France,Fête nationale,Fête nationale,,FR,2008-07-14
Norway,Søndag,Søndag,,NO,2008-07-20
Sweden,Söndag,Söndag,,SE,2008-07-20
Belgium,Nationale feestdag,Nationale feestdag,,BE,2008-07-21
Japan,海の日,海の日,,JP,2008-07-21
Norway,Søndag,Søndag,,NO,2008-07-27
Sweden,Söndag,Söndag,,SE,2008-07-27
Switzerland,Nationalfeiertag,Nationalfeiertag,,CH,2008-08-01
Norway,Søndag,Søndag,,NO,2008-08-03
Sweden,Söndag,Söndag,,SE,2008-08-03
Canada,Civic Holiday,Civic Holiday,,CA,2008-08-04
Ireland,Summer Bank Holiday,Summer Bank Holiday,,IE,2008-08-04
Scotland,Summer Bank Holiday,Summer Bank Holiday,,,2008-08-04
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,False,GB,2008-08-04
Croatia,Dan pobjede i domovinske zahvalnosti,Dan pobjede i domovinske zahvalnosti,,HR,2008-08-05
Colombia,Batalla de Boyacá [Battle of Boyacá],Batalla de Boyacá [Battle of Boyacá],,CO,2008-08-07
South Africa,National Women's Day,National Women's Day,,ZA,2008-08-09
Norway,Søndag,Søndag,,NO,2008-08-10
Sweden,Söndag,Söndag,,SE,2008-08-10
Austria,Mariä Himmelfahrt,Mariä Himmelfahrt,,AT,2008-08-15
Belgium,O.L.V. Hemelvaart,O.L.V. Hemelvaart,,BE,2008-08-15
Croatia,Velika Gospa,Velika Gospa,,HR,2008-08-15
France,Assomption,Assomption,,FR,2008-08-15
India,Independence Day,Independence Day,True,IN,2008-08-15
Italy,Assunzione della Vergine,Assunzione della Vergine,,IT,2008-08-15
Poland,Wniebowzięcie Najświętszej Marii Panny,Wniebowzięcie Najświętszej Marii Panny,,PL,2008-08-15
Portugal,Assunção de Nossa Senhora,Assunção de Nossa Senhora,,PT,2008-08-15
Slovenia,Marijino vnebovzetje,Marijino vnebovzetje,,SI,2008-08-15
Spain,Asunción de la Virgen,Asunción de la Virgen,,ES,2008-08-15
Argentina,Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],,AR,2008-08-17
Norway,Søndag,Søndag,,NO,2008-08-17
Sweden,Söndag,Söndag,,SE,2008-08-17
Colombia,La Asunción [Assumption of Mary](Observed),La Asunción [Assumption of Mary],,CO,2008-08-18
Hungary,Az államalapítás ünnepe,Az államalapítás ünnepe,,HU,2008-08-20
Norway,Søndag,Søndag,,NO,2008-08-24
Sweden,Söndag,Söndag,,SE,2008-08-24
Ukraine,День незалежності України,День незалежності України,,UA,2008-08-24
England,Late Summer Bank Holiday,Late Summer Bank Holiday,,,2008-08-25
Isle of Man,Late Summer Bank Holiday,Late Summer Bank Holiday,,IM,2008-08-25
Northern Ireland,Late Summer Bank Holiday,Late Summer Bank Holiday,,,2008-08-25
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,True,GB,2008-08-25
Wales,Late Summer Bank Holiday,Late Summer Bank Holiday,,,2008-08-25
Norway,Søndag,Søndag,,NO,2008-08-31
Sweden,Söndag,Söndag,,SE,2008-08-31
Canada,Labour Day,Labour Day,,CA,2008-09-01
United States,Labor Day,Labor Day,True,US,2008-09-01
Brazil,Independência do Brasil,Independência do Brasil,,BR,2008-09-07
Norway,Søndag,Søndag,,NO,2008-09-07
Sweden,Söndag,Söndag,,SE,2008-09-07
Norway,Søndag,Søndag,,NO,2008-09-14
Sweden,Söndag,Söndag,,SE,2008-09-14
Japan,敬老の日,敬老の日,,JP,2008-09-15
Mexico,Día de la Independencia [Independence Day],Día de la Independencia [Independence Day],,MX,2008-09-16
Norway,Søndag,Søndag,,NO,2008-09-21
Sweden,Söndag,Söndag,,SE,2008-09-21
Japan,秋分の日,秋分の日,,JP,2008-09-23
South Africa,Heritage Day,Heritage Day,,ZA,2008-09-24
Czech,Den české státnosti,Den české státnosti,,CZ,2008-09-28
Norway,Søndag,Søndag,,NO,2008-09-28
Sweden,Söndag,Söndag,,SE,2008-09-28
India,Gandhi Jayanti,Gandhi Jayanti,True,IN,2008-10-02
Germany,Tag der Deutschen Einheit,Tag der Deutschen Einheit,,DE,2008-10-03
Norway,Søndag,Søndag,,NO,2008-10-05
Portugal,Implantação da República,Implantação da República,,PT,2008-10-05
Sweden,Söndag,Söndag,,SE,2008-10-05
Croatia,Dan neovisnosti,Dan neovisnosti,,HR,2008-10-08
Argentina,Día de la Raza [Columbus day],Día de la Raza [Columbus day],,AR,2008-10-12
Brazil,Nossa Senhora Aparecida,Nossa Senhora Aparecida,,BR,2008-10-12
Norway,Søndag,Søndag,,NO,2008-10-12
Spain,Día de la Hispanidad,Día de la Hispanidad,,ES,2008-10-12
Sweden,Söndag,Söndag,,SE,2008-10-12
Canada,Thanksgiving,Thanksgiving,,CA,2008-10-13
Colombia,Descubrimiento de América [Discovery of America](Observed),Descubrimiento de América [Discovery of America],,CO,2008-10-13
Japan,体育の日,体育の日,,JP,2008-10-13
United States,Columbus Day,Columbus Day,False,US,2008-10-13
Norway,Søndag,Søndag,,NO,2008-10-19
Sweden,Söndag,Söndag,,SE,2008-10-19
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2008-10-23
Austria,Nationalfeiertag,Nationalfeiertag,,AT,2008-10-26
Norway,Søndag,Søndag,,NO,2008-10-26
Sweden,Söndag,Söndag,,SE,2008-10-26
